prompt_id,error_type,prompt_tokens,chosen_tokens,rejected_tokens,length_delta,normalized_length_delta,token_edit_distance,step_count_delta,final_answer_correct,numeric_delta,error_node_depth,num_nodes_changed,num_edges_changed,op,dag_depth
4_p34,computation,117,134,134,0,0.0,8,0,False,1.0,,,,10,2
15_p39,computation,127,244,244,0,0.0,13,0,False,1.0,,,,10,2
1_p43,computation,132,233,233,0,0.0,10,0,False,-1.0,,,,10,2
4_p2,computation,139,147,147,0,0.0,10,0,False,-3.0,,,,10,2
13_p6,computation,127,142,142,0,0.0,9,0,False,5.0,,,,10,2
16_p33,computation,159,261,261,0,0.0,5,0,False,1.0,,,,10,2
17_p14,computation,155,267,271,4,0.0149812734082397,7,0,False,-0.7999999999999998,,,,10,2
15_p4,computation,96,138,138,0,0.0,8,0,False,2.0,,,,10,2
6_p40,computation,99,130,130,0,0.0,6,0,False,3.0,,,,10,2
14_p40,computation,99,130,130,0,0.0,6,0,False,1.0,,,,10,2
22_p3,computation,96,138,138,0,0.0,4,0,False,1.0,,,,10,2
18_p9,computation,103,140,140,0,0.0,7,0,False,1.0,,,,10,2
20_p3,computation,107,132,132,0,0.0,4,0,False,1.0,,,,10,2
1_p14,computation,99,130,130,0,0.0,8,0,False,-4.0,,,,10,2
21_p12,computation,107,136,136,0,0.0,9,0,False,1.0,,,,10,2
15_p33,computation,91,133,133,0,0.0,9,0,False,1.0,,,,10,2
20_p40,computation,92,146,146,0,0.0,8,0,False,2.0,,,,10,2
20_p28,computation,98,267,271,4,0.0149812734082397,5,0,False,0.04299999999999993,,,,10,2
2_p25,computation,98,138,138,0,0.0,6,0,False,1.0,,,,10,2
6_p34,computation,104,140,140,0,0.0,9,0,False,5.0,,,,10,2
14_p33,computation,107,130,130,0,0.0,8,0,False,1.0,,,,10,2
22_p43,computation,104,140,140,0,0.0,10,0,False,2.0,,,,10,2
19_p15,computation,107,130,130,0,0.0,8,0,False,1.0,,,,10,2
14_p11,computation,103,140,140,0,0.0,7,0,False,3.0,,,,10,2
14_p6,computation,106,132,132,0,0.0,8,0,False,2.0,,,,10,2
5_p41,computation,94,125,125,0,0.0,4,0,False,1.0,,,,10,2
0_p18,computation,104,153,153,0,0.0,10,0,False,-1.0,,,,10,2
15_p28,computation,103,140,140,0,0.0,9,0,False,1.0,,,,10,2
10_p30,computation,107,130,130,0,0.0,8,0,False,1.0,,,,10,2
9_p41,computation,103,146,146,0,0.0,6,0,False,1.0,,,,10,2
4_p5,computation,107,130,130,0,0.0,8,0,False,1.0,,,,10,2
8_p29,computation,108,132,132,0,0.0,8,0,False,1.0,,,,10,2
22_p8,computation,106,132,132,0,0.0,10,0,False,-1.0,,,,10,2
13_p24,computation,106,142,142,0,0.0,5,0,False,1.0,,,,10,2
1_p14,computation,105,131,131,0,0.0,8,0,False,1.0,,,,10,2
3_p41,computation,107,132,132,0,0.0,6,0,False,1.0,,,,10,2
12_p12,computation,107,130,130,0,0.0,8,0,False,1.0,,,,10,2
22_p1,computation,106,132,132,0,0.0,8,0,False,-2.0,,,,10,2
7_p45,computation,106,132,132,0,0.0,9,0,False,2.0,,,,10,2
10_p0,computation,104,140,140,0,0.0,11,0,False,2.0,,,,10,2
20_p40,computation,106,132,132,0,0.0,9,0,False,2.0,,,,10,2
4_p8,computation,107,132,132,0,0.0,6,0,False,2.0,,,,10,2
8_p15,computation,106,132,132,0,0.0,6,0,False,2.0,,,,10,2
9_p42,computation,106,132,132,0,0.0,6,0,False,2.0,,,,10,2
5_p20,computation,103,140,140,0,0.0,9,0,False,5.0,,,,10,2
2_p12,computation,107,132,132,0,0.0,4,0,False,2.0,,,,10,2
3_p34,computation,107,136,136,0,0.0,12,0,False,2.0,,,,10,2
12_p34,computation,106,134,134,0,0.0,5,0,False,1.0,,,,10,2
22_p13,computation,106,132,132,0,0.0,8,0,False,-1.0,,,,10,2
11_p38,computation,106,132,132,0,0.0,6,0,False,2.0,,,,10,2
6_p36,computation,110,130,130,0,0.0,6,0,False,1.0,,,,10,2
5_p35,computation,106,132,132,0,0.0,6,0,False,-1.0,,,,10,2
6_p10,computation,104,130,130,0,0.0,10,0,False,2.0,,,,10,2
14_p44,computation,114,132,132,0,0.0,8,0,False,1.0,,,,10,2
14_p5,computation,110,134,134,0,0.0,6,0,False,4.0,,,,10,2
18_p16,computation,110,130,130,0,0.0,10,0,False,2.0,,,,10,2
7_p13,computation,114,132,132,0,0.0,8,0,False,1.0,,,,10,2
5_p2,computation,106,132,132,0,0.0,6,0,False,2.0,,,,10,2
2_p39,computation,107,130,130,0,0.0,8,0,False,1.0,,,,10,2
3_p18,computation,113,134,134,0,0.0,6,0,False,-1.0,,,,10,2
2_p18,computation,104,140,140,0,0.0,11,0,False,2.0,,,,10,2
22_p38,computation,107,136,136,0,0.0,3,0,False,2.0,,,,10,2
3_p35,computation,110,130,130,0,0.0,8,0,False,2.0,,,,10,2
11_p0,computation,99,126,126,0,0.0,10,0,False,-1.0,,,,10,2
3_p37,computation,114,132,132,0,0.0,4,0,False,1.0,,,,10,2
15_p23,computation,114,132,132,0,0.0,8,0,False,1.0,,,,10,2
12_p20,computation,111,131,131,0,0.0,4,0,False,1.0,,,,10,2
11_p8,computation,112,143,143,0,0.0,7,0,False,1.0,,,,10,2
6_p19,computation,110,130,130,0,0.0,4,0,False,2.0,,,,10,2
4_p1,computation,110,130,130,0,0.0,6,0,False,1.0,,,,10,2
16_p6,computation,114,132,132,0,0.0,8,0,False,-1.0,,,,10,2
4_p35,computation,110,130,130,0,0.0,4,0,False,2.0,,,,10,2
16_p10,computation,105,154,154,0,0.0,2,0,False,1.0,,,,10,2
18_p21,computation,99,127,127,0,0.0,10,0,False,4.0,,,,10,2
10_p42,computation,107,132,132,0,0.0,12,0,False,-2.0,,,,10,2
13_p17,computation,110,130,130,0,0.0,12,0,False,-2.0,,,,10,2
14_p38,computation,114,132,132,0,0.0,8,0,False,-1.0,,,,10,2
20_p10,computation,106,275,279,4,0.014545454545454545,7,0,False,-0.667,,,,10,2
20_p21,computation,114,132,132,0,0.0,4,0,False,-1.0,,,,10,2
0_p40,computation,115,132,132,0,0.0,4,0,False,1.0,,,,10,2
15_p9,computation,109,138,138,0,0.0,6,0,False,3.0,,,,10,2
2_p8,computation,113,134,134,0,0.0,8,0,False,-1.0,,,,10,2
4_p5,computation,113,134,134,0,0.0,8,0,False,3.0,,,,10,2
7_p10,computation,115,132,132,0,0.0,10,0,False,2.0,,,,10,2
20_p36,computation,114,132,132,0,0.0,8,0,False,1.0,,,,10,2
19_p40,computation,101,127,127,0,0.0,8,0,False,1.0,,,,10,2
21_p14,computation,113,134,134,0,0.0,9,0,False,4.0,,,,10,2
2_p43,computation,105,134,134,0,0.0,9,0,False,1.0,,,,10,2
22_p28,computation,115,132,132,0,0.0,10,0,False,-2.0,,,,10,2
2_p37,computation,114,134,134,0,0.0,4,0,False,1.0,,,,10,2
19_p1,computation,104,152,152,0,0.0,4,0,False,4.0,,,,10,2
6_p5,computation,109,138,138,0,0.0,6,0,False,4.0,,,,10,2
0_p34,computation,113,134,134,0,0.0,7,0,False,2.0,,,,10,2
21_p34,computation,114,134,134,0,0.0,10,0,False,2.0,,,,10,2
20_p21,computation,105,128,128,0,0.0,6,0,False,1.0,,,,10,2
6_p37,computation,111,130,130,0,0.0,4,0,False,-1.0,,,,10,2
2_p12,computation,104,130,130,0,0.0,6,0,False,2.0,,,,10,2
20_p6,computation,114,134,134,0,0.0,4,0,False,1.0,,,,10,2
13_p16,computation,105,128,128,0,0.0,8,0,False,-1.0,,,,10,2
4_p13,computation,114,132,132,0,0.0,8,0,False,1.0,,,,10,2
4_p10,computation,109,264,268,4,0.015151515151515152,14,0,False,-0.2857142857142858,,,,10,2
15_p26,computation,105,134,134,0,0.0,12,0,False,2.0,,,,10,2
20_p10,computation,103,140,140,0,0.0,7,0,False,3.0,,,,10,2
11_p28,computation,113,134,134,0,0.0,8,0,False,3.0,,,,10,2
12_p33,computation,114,132,132,0,0.0,8,0,False,1.0,,,,10,2
12_p22,computation,117,136,136,0,0.0,10,0,False,2.0,,,,10,2
5_p7,computation,110,130,130,0,0.0,6,0,False,-2.0,,,,10,2
19_p27,computation,111,131,131,0,0.0,6,0,False,1.0,,,,10,2
20_p27,computation,114,132,132,0,0.0,10,0,False,2.0,,,,10,2
20_p45,computation,105,140,140,0,0.0,7,0,False,1.0,,,,10,2
8_p2,computation,115,135,135,0,0.0,10,0,False,2.0,,,,10,2
22_p3,computation,113,134,134,0,0.0,10,0,False,3.0,,,,10,2
21_p33,computation,114,132,132,0,0.0,4,0,False,1.0,,,,10,2
17_p11,computation,118,130,130,0,0.0,11,0,False,2.0,,,,10,2
15_p11,computation,115,235,235,0,0.0,12,0,False,-2.0,,,,10,2
2_p36,computation,114,132,132,0,0.0,6,0,False,1.0,,,,10,2
7,computation,118,134,134,0,0.0,6,0,False,-1.0,,,,10,2
2_p22,computation,104,129,129,0,0.0,8,0,False,1.0,,,,10,2
15_p26,computation,102,129,129,0,0.0,8,0,False,3.0,,,,10,2
20_p34,computation,114,134,134,0,0.0,4,0,False,-1.0,,,,10,2
2_p34,computation,114,132,132,0,0.0,8,0,False,1.0,,,,10,2
4_p43,computation,114,147,147,0,0.0,4,0,False,-1.0,,,,10,2
19_p10,computation,115,132,132,0,0.0,10,0,False,2.0,,,,10,2
3_p12,computation,114,253,257,4,0.015810276679841896,17,0,False,-0.7999999999999998,,,,10,2
12_p28,computation,113,134,134,0,0.0,8,0,False,1.0,,,,10,2
13_p8,computation,103,127,127,0,0.0,4,0,False,1.0,,,,10,2
19_p2,computation,106,132,132,0,0.0,8,0,False,1.0,,,,10,2
